document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 1 - URS - Heart Rate Monitor Application,URS,6,URS-006-03,Validate sensor data range,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,6,URS-006-04,Manual heart rate entry when device unavailable,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Need SME,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,6,URS-006-05,Battery and Bluetooth warning,Android/iOS,Low,TBD by clinical SME - intentionally incomplete.,In Review,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,7,URS-007-01,Validate sensor data range,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,7,URS-007-02,Generate high/low heart-rate alert,Notification Service,Low,System shall complete the action without data loss.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,7,URS-007-03,Sync readings to cloud API,Cloud Sync,High,Result must be visible in mobile UI within expected time.,Draft,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,7,URS-007-04,Consent capture and privacy notice,Local DB,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,7,URS-007-05,Consent capture and privacy notice,Android,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,??
Document 1 - URS - Heart Rate Monitor Application,URS,8,URS-008-01,Display current BPM with timestamp,Backend API,High,User shall receive clear error message on failure.,Pending QA,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,8,URS-008-02,Support caregiver view,Backend API,TBD,Result must be visible in mobile UI within expected time.,In Review,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,8,URS_8.3,Show trend chart for 7/30/90 days,Notification Service,Medium,Result must be visible in mobile UI within expected time.,Rejected once,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,8,URS-008-04,Consent capture and privacy notice,Cloud Sync,TBD,Result must be visible in mobile UI within expected time.,Approved?,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,8,URS-008-05,Capture heart rate from paired device,Local DB,High,TBD by clinical SME - intentionally incomplete.,Rejected once,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,9,URS-009-01,Consent capture and privacy notice,Notification Service,High,Result must be visible in mobile UI within expected time.,Draft,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,9,URS-009-02,Export readings as PDF/CSV,Android/iOS,Low,TBD by clinical SME - intentionally incomplete.,Rejected once,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,9,URS-009-03,Display current BPM with timestamp,Cloud Sync,Not ranked,Data shall be encrypted in transit and at rest.,Rejected once,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,9,URS-009-04,Audit user actions,iOS,Not ranked,Audit/event record shall be generated where applicable.,In Review,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,9,URS-009-05,Battery and Bluetooth warning,Notification Service,TBD,Data shall be encrypted in transit and at rest.,Need SME,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,10,URS-010-01,Generate high/low heart-rate alert,Backend API,TBD,Data shall be encrypted in transit and at rest.,In Review,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,10,URS-010-02,Sync readings to cloud API,Local DB,Medium,Data shall be encrypted in transit and at rest.,Draft,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,10,URS-010-03,Show trend chart for 7/30/90 days,Notification Service,Not ranked,Audit/event record shall be generated where applicable.,Approved?,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,10,URS-010-04,Store readings securely on device,Local DB,Low,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,10,URS-010-05,Battery and Bluetooth warning,Backend API,Not ranked,TBD by clinical SME - intentionally incomplete.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,11,URS-011-01,Support caregiver view,Local DB,Medium,Audit/event record shall be generated where applicable.,In Review,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,11,URS-011-02,Biometric login option,Bluetooth Sensor,High,Audit/event record shall be generated where applicable.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,11,URS-011-03,Biometric login option,Local DB,Medium,Result must be visible in mobile UI within expected time.,Rejected once,??
Document 1 - URS - Heart Rate Monitor Application,URS,11,URS-011-04,Support caregiver view,Android,Low,Result must be visible in mobile UI within expected time.,Pending QA,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,11,URS-011-05,Audit user actions,Android/iOS,TBD,TBD by clinical SME - intentionally incomplete.,In Review,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,12,URS-012-01,Battery and Bluetooth warning,Cloud Sync,Low,TBD by clinical SME - intentionally incomplete.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,12,URS-012-02,Manual heart rate entry when device unavailable,Cloud Sync,Medium,Audit/event record shall be generated where applicable.,Draft,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,12,URS-012-03,Sync readings to cloud API,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Rejected once,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,12,URS-012-04,Handle offline mode,Backend API,Medium,TBD by clinical SME - intentionally incomplete.,Draft,??
Document 1 - URS - Heart Rate Monitor Application,URS,12,URS-012-05,Capture heart rate from paired device,Local DB,Low,Result must be visible in mobile UI within expected time.,Rejected once,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,13,URS-013-01,Export readings as PDF/CSV,Cloud Sync,High,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,13,URS-013-02,Manual heart rate entry when device unavailable,iOS,Medium,TBD by clinical SME - intentionally incomplete.,Draft,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,13,URS-013-03,Biometric login option,iOS,High,Data shall be encrypted in transit and at rest.,Need SME,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,13,URS-013-04,Capture heart rate from paired device,iOS,TBD,Data shall be encrypted in transit and at rest.,Approved?,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,13,URS-013-05,Notification retry and suppression,iOS,Medium,System shall complete the action without data loss.,Draft,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,14,URS-014-01,Battery and Bluetooth warning,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Rejected once,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,14,URS-014-02,Audit user actions,Bluetooth Sensor,Medium,User shall receive clear error message on failure.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,14,URS-014-03,Display current BPM with timestamp,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,In Review,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,14,URS_14.4,Show trend chart for 7/30/90 days,iOS,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,14,URS-014-05,Show trend chart for 7/30/90 days,Notification Service,Low,System shall complete the action without data loss.,Rejected once,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,15,URS-015-01,Audit user actions,Local DB,Low,TBD by clinical SME - intentionally incomplete.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,15,URS-015-02,Handle offline mode,iOS,High,TBD by clinical SME - intentionally incomplete.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,15,URS-015-03,Capture heart rate from paired device,Backend API,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,15,URS-015-04,Support caregiver view,Android/iOS,Low,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,15,URS-015-05,Export readings as PDF/CSV,Notification Service,Low,TBD by clinical SME - intentionally incomplete.,Draft,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,16,URS-016-01,Biometric login option,Cloud Sync,Medium,Data shall be encrypted in transit and at rest.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,16,URS-016-02,Audit user actions,Android,Not ranked,Audit/event record shall be generated where applicable.,Rejected once,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,16,URS_16.3,Support caregiver view,Local DB,Not ranked,User shall receive clear error message on failure.,Approved?,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,16,URS-016-04,Biometric login option,Cloud Sync,High,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,16,URS-016-05,Display current BPM with timestamp,Android/iOS,High,System shall complete the action without data loss.,Draft,??
Document 1 - URS - Heart Rate Monitor Application,URS,17,URS_17.1,Show trend chart for 7/30/90 days,Bluetooth Sensor,Medium,TBD by clinical SME - intentionally incomplete.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,17,URS-017-02,Handle offline mode,Local DB,Not ranked,User shall receive clear error message on failure.,Need SME,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,17,URS-017-03,Sync readings to cloud API,Android/iOS,Not ranked,System shall complete the action without data loss.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,17,URS_17.4,Display current BPM with timestamp,Android,TBD,TBD by clinical SME - intentionally incomplete.,Need SME,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,17,URS-017-05,Notification retry and suppression,Android,High,Data shall be encrypted in transit and at rest.,Need SME,??
Document 1 - URS - Heart Rate Monitor Application,URS,18,URS-018-01,Sync readings to cloud API,Local DB,Not ranked,Result must be visible in mobile UI within expected time.,Approved?,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,18,URS-018-02,Consent capture and privacy notice,iOS,Low,Audit/event record shall be generated where applicable.,In Review,??
Document 1 - URS - Heart Rate Monitor Application,URS,18,URS-018-03,Sync readings to cloud API,Cloud Sync,Medium,User shall receive clear error message on failure.,Pending QA,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,18,URS_18.4,Display current BPM with timestamp,Bluetooth Sensor,High,Audit/event record shall be generated where applicable.,Draft,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,18,URS_18.5,Handle offline mode,Cloud Sync,High,Data shall be encrypted in transit and at rest.,In Review,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,19,URS-019-01,Battery and Bluetooth warning,iOS,Medium,TBD by clinical SME - intentionally incomplete.,Pending QA,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,19,URS-019-02,Validate sensor data range,Android,Not ranked,User shall receive clear error message on failure.,Rejected once,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,19,URS-019-03,Consent capture and privacy notice,Cloud Sync,Medium,TBD by clinical SME - intentionally incomplete.,Approved?,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,19,URS-019-04,Store readings securely on device,Cloud Sync,Not ranked,System shall complete the action without data loss.,Pending QA,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,19,URS-019-05,Generate high/low heart-rate alert,Bluetooth Sensor,Not ranked,User shall receive clear error message on failure.,Pending QA,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,20,URS-020-01,Support caregiver view,Android/iOS,High,Data shall be encrypted in transit and at rest.,Approved?,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,20,URS_20.2,Notification retry and suppression,Backend API,Low,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,20,URS-020-03,Display current BPM with timestamp,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Pending QA,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,20,URS-020-04,Notification retry and suppression,Android/iOS,High,Result must be visible in mobile UI within expected time.,Pending QA,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,20,URS-020-05,Audit user actions,Android,Not ranked,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,21,URS-021-01,Support caregiver view,Cloud Sync,TBD,System shall complete the action without data loss.,Pending QA,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,21,URS-021-02,Battery and Bluetooth warning,Backend API,Low,TBD by clinical SME - intentionally incomplete.,Need SME,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,21,URS-021-03,Capture heart rate from paired device,Backend API,Low,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,21,URS-021-04,Sync readings to cloud API,Android,Low,Data shall be encrypted in transit and at rest.,Pending QA,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,21,URS-021-05,Validate sensor data range,Bluetooth Sensor,Low,System shall complete the action without data loss.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,22,URS-022-01,Battery and Bluetooth warning,Android,Medium,Result must be visible in mobile UI within expected time.,In Review,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,22,URS-022-02,Show trend chart for 7/30/90 days,Android,Medium,Data shall be encrypted in transit and at rest.,Need SME,??
Document 1 - URS - Heart Rate Monitor Application,URS,22,URS-022-03,Display current BPM with timestamp,Local DB,TBD,Audit/event record shall be generated where applicable.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,22,URS-022-04,Validate sensor data range,Backend API,Medium,Audit/event record shall be generated where applicable.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,22,URS-022-05,Validate sensor data range,Android,Low,Result must be visible in mobile UI within expected time.,Draft,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,23,URS-023-01,Generate high/low heart-rate alert,Android,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,23,URS_23.2,Validate sensor data range,Backend API,Not ranked,Data shall be encrypted in transit and at rest.,In Review,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,23,URS_23.3,Manual heart rate entry when device unavailable,Bluetooth Sensor,High,TBD by clinical SME - intentionally incomplete.,Draft,??
Document 1 - URS - Heart Rate Monitor Application,URS,23,URS-023-04,Show trend chart for 7/30/90 days,Notification Service,Low,User shall receive clear error message on failure.,Draft,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,23,URS-023-05,Biometric login option,Local DB,Low,User shall receive clear error message on failure.,Approved?,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,24,URS_24.1,Notification retry and suppression,Local DB,Medium,User shall receive clear error message on failure.,Need SME,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,24,URS-024-02,Manual heart rate entry when device unavailable,Bluetooth Sensor,High,Result must be visible in mobile UI within expected time.,In Review,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,24,URS-024-03,Sync readings to cloud API,Android,Medium,Data shall be encrypted in transit and at rest.,Approved?,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,24,URS-024-04,Audit user actions,Cloud Sync,Medium,Audit/event record shall be generated where applicable.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,24,URS_24.5,Audit user actions,Android/iOS,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,25,URS-025-01,Capture heart rate from paired device,Android/iOS,Not ranked,System shall complete the action without data loss.,Rejected once,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,25,URS-025-02,Generate high/low heart-rate alert,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,Rejected once,??
Document 1 - URS - Heart Rate Monitor Application,URS,25,URS-025-03,Validate sensor data range,Notification Service,Low,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,25,URS-025-04,Handle offline mode,Cloud Sync,TBD,TBD by clinical SME - intentionally incomplete.,In Review,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,25,URS-025-05,Validate sensor data range,Local DB,Medium,User shall receive clear error message on failure.,Pending QA,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,26,URS-026-01,Notification retry and suppression,Backend API,Low,Result must be visible in mobile UI within expected time.,Pending QA,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,26,URS-026-02,Generate high/low heart-rate alert,Local DB,High,User shall receive clear error message on failure.,Approved?,??
Document 1 - URS - Heart Rate Monitor Application,URS,26,URS-026-03,Battery and Bluetooth warning,Backend API,TBD,Result must be visible in mobile UI within expected time.,Rejected once,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,26,URS-026-04,Manual heart rate entry when device unavailable,Bluetooth Sensor,Not ranked,User shall receive clear error message on failure.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,26,URS-026-05,Sync readings to cloud API,Local DB,Medium,Audit/event record shall be generated where applicable.,Draft,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,27,URS-027-01,Generate high/low heart-rate alert,Backend API,High,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,27,URS-027-02,Handle offline mode,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,27,URS-027-03,Capture heart rate from paired device,Notification Service,Medium,System shall complete the action without data loss.,Need SME,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,27,URS-027-04,Capture heart rate from paired device,Cloud Sync,High,User shall receive clear error message on failure.,Need SME,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,27,URS-027-05,Consent capture and privacy notice,Android/iOS,High,Result must be visible in mobile UI within expected time.,Need SME,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,28,URS-028-01,Generate high/low heart-rate alert,Local DB,TBD,User shall receive clear error message on failure.,Draft,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,28,URS-028-02,Battery and Bluetooth warning,Cloud Sync,Not ranked,User shall receive clear error message on failure.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,28,URS-028-03,Manual heart rate entry when device unavailable,iOS,Not ranked,Audit/event record shall be generated where applicable.,Draft,??
Document 1 - URS - Heart Rate Monitor Application,URS,28,URS-028-04,Handle offline mode,Android,TBD,Audit/event record shall be generated where applicable.,Approved?,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,28,URS-028-05,Handle offline mode,Bluetooth Sensor,Low,User shall receive clear error message on failure.,Draft,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,29,URS-029-01,Biometric login option,Android/iOS,High,Audit/event record shall be generated where applicable.,Pending QA,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,29,URS-029-02,Support caregiver view,Cloud Sync,High,Result must be visible in mobile UI within expected time.,In Review,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,29,URS_29.3,Audit user actions,Android,TBD,User shall receive clear error message on failure.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,29,URS-029-04,Biometric login option,Android,Medium,User shall receive clear error message on failure.,In Review,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,29,URS-029-05,Validate sensor data range,Local DB,High,Data shall be encrypted in transit and at rest.,Need SME,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,30,URS-030-01,Support caregiver view,iOS,Not ranked,User shall receive clear error message on failure.,Pending QA,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,30,URS-030-02,Capture heart rate from paired device,Notification Service,Medium,Result must be visible in mobile UI within expected time.,Draft,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,30,URS-030-03,Handle offline mode,Bluetooth Sensor,Low,Audit/event record shall be generated where applicable.,In Review,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,30,URS-030-04,Audit user actions,iOS,Not ranked,User shall receive clear error message on failure.,Need SME,??
Document 1 - URS - Heart Rate Monitor Application,URS,30,URS-030-05,Support caregiver view,iOS,Not ranked,Result must be visible in mobile UI within expected time.,In Review,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,31,URS-031-01,Generate high/low heart-rate alert,Notification Service,Medium,Data shall be encrypted in transit and at rest.,Rejected once,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,31,URS-031-02,Display current BPM with timestamp,Notification Service,Low,User shall receive clear error message on failure.,Draft,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,31,URS-031-03,Store readings securely on device,Bluetooth Sensor,TBD,Data shall be encrypted in transit and at rest.,Pending QA,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,31,URS-031-04,Export readings as PDF/CSV,Android,Medium,Result must be visible in mobile UI within expected time.,Rejected once,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,31,URS-031-05,Audit user actions,Local DB,Medium,TBD by clinical SME - intentionally incomplete.,Approved?,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,32,URS-032-01,Capture heart rate from paired device,Local DB,TBD,Audit/event record shall be generated where applicable.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,32,URS-032-02,Display current BPM with timestamp,Notification Service,TBD,TBD by clinical SME - intentionally incomplete.,Pending QA,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,32,URS-032-03,Export readings as PDF/CSV,Bluetooth Sensor,Low,User shall receive clear error message on failure.,Rejected once,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,32,URS-032-04,Show trend chart for 7/30/90 days,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Rejected once,??
Document 1 - URS - Heart Rate Monitor Application,URS,32,URS-032-05,Validate sensor data range,Local DB,TBD,Audit/event record shall be generated where applicable.,Pending QA,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,33,URS-033-01,Manual heart rate entry when device unavailable,Local DB,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 1 - URS - Heart Rate Monitor Application,URS,33,URS-033-02,Biometric login option,Android,Not ranked,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,33,URS-033-03,Battery and Bluetooth warning,Android,Not ranked,Result must be visible in mobile UI within expected time.,In Review,??
Document 1 - URS - Heart Rate Monitor Application,URS,33,URS-033-04,Store readings securely on device,iOS,Medium,Data shall be encrypted in transit and at rest.,Pending QA,REVIEW-LATER
