document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 5 - OQ - Heart Rate Monitor Application,OQ,8,OQ-008-02,Consent capture and privacy notice,Android/iOS,Medium,System shall complete the action without data loss.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,8,OQ_8.3,Biometric login option,Local DB,Medium,Audit/event record shall be generated where applicable.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,8,OQ-008-04,Capture heart rate from paired device,iOS,Medium,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,8,OQ-008-05,Export readings as PDF/CSV,Notification Service,High,Data shall be encrypted in transit and at rest.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,9,OQ-009-01,Consent capture and privacy notice,Android/iOS,Low,User shall receive clear error message on failure.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,9,OQ-009-02,Store readings securely on device,Local DB,TBD,Data shall be encrypted in transit and at rest.,Need SME,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,9,OQ-009-03,Generate high/low heart-rate alert,Cloud Sync,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,9,OQ-009-04,Validate sensor data range,Android,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,9,OQ-009-05,Audit user actions,Cloud Sync,TBD,System shall complete the action without data loss.,Approved?,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,10,OQ-010-01,Store readings securely on device,Android,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,10,OQ-010-02,Audit user actions,Local DB,Medium,TBD by clinical SME - intentionally incomplete.,Need SME,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,10,OQ_10.3,Manual heart rate entry when device unavailable,iOS,Medium,Data shall be encrypted in transit and at rest.,Draft,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,10,OQ-010-04,Validate sensor data range,Backend API,Medium,User shall receive clear error message on failure.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,10,OQ-010-05,Manual heart rate entry when device unavailable,Backend API,Low,User shall receive clear error message on failure.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,11,OQ_11.1,Validate sensor data range,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,11,OQ-011-02,Handle offline mode,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,11,OQ_11.3,Show trend chart for 7/30/90 days,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,11,OQ-011-04,Capture heart rate from paired device,iOS,Low,System shall complete the action without data loss.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,11,OQ-011-05,Generate high/low heart-rate alert,Notification Service,Medium,Data shall be encrypted in transit and at rest.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,12,OQ-012-01,Battery and Bluetooth warning,Backend API,Not ranked,Audit/event record shall be generated where applicable.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,12,OQ_12.2,Display current BPM with timestamp,Android/iOS,Medium,TBD by clinical SME - intentionally incomplete.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,12,OQ-012-03,Show trend chart for 7/30/90 days,Backend API,Not ranked,Data shall be encrypted in transit and at rest.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,12,OQ-012-04,Notification retry and suppression,Android/iOS,High,Audit/event record shall be generated where applicable.,Draft,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,12,OQ-012-05,Handle offline mode,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,13,OQ_13.1,Store readings securely on device,Android,Low,User shall receive clear error message on failure.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,13,OQ_13.2,Audit user actions,Cloud Sync,Not ranked,System shall complete the action without data loss.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,13,OQ-013-03,Support caregiver view,Android,Not ranked,Audit/event record shall be generated where applicable.,Draft,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,13,OQ-013-04,Audit user actions,Android,Not ranked,User shall receive clear error message on failure.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,13,OQ-013-05,Notification retry and suppression,Local DB,Low,TBD by clinical SME - intentionally incomplete.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,14,OQ-014-01,Handle offline mode,Bluetooth Sensor,Low,Data shall be encrypted in transit and at rest.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,14,OQ-014-02,Manual heart rate entry when device unavailable,Backend API,Low,System shall complete the action without data loss.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,14,OQ-014-03,Export readings as PDF/CSV,Notification Service,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,14,OQ-014-04,Consent capture and privacy notice,Notification Service,Not ranked,System shall complete the action without data loss.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,14,OQ-014-05,Battery and Bluetooth warning,Local DB,TBD,Result must be visible in mobile UI within expected time.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,15,OQ-015-01,Support caregiver view,Android/iOS,TBD,TBD by clinical SME - intentionally incomplete.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,15,OQ-015-02,Consent capture and privacy notice,iOS,High,Data shall be encrypted in transit and at rest.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,15,OQ_15.3,Support caregiver view,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,15,OQ-015-04,Consent capture and privacy notice,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,15,OQ-015-05,Sync readings to cloud API,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,16,OQ-016-01,Manual heart rate entry when device unavailable,Backend API,High,User shall receive clear error message on failure.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,16,OQ-016-02,Handle offline mode,Android,Medium,Data shall be encrypted in transit and at rest.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,16,OQ-016-03,Show trend chart for 7/30/90 days,iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,16,OQ-016-04,Battery and Bluetooth warning,Android,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,16,OQ_16.5,Validate sensor data range,Cloud Sync,Low,System shall complete the action without data loss.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,17,OQ-017-01,Consent capture and privacy notice,iOS,Low,System shall complete the action without data loss.,Approved?,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,17,OQ-017-02,Display current BPM with timestamp,Backend API,Not ranked,Audit/event record shall be generated where applicable.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,17,OQ_17.3,Support caregiver view,Android,TBD,Result must be visible in mobile UI within expected time.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,17,OQ-017-04,Manual heart rate entry when device unavailable,iOS,High,System shall complete the action without data loss.,Pending QA,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,17,OQ-017-05,Capture heart rate from paired device,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,18,OQ-018-01,Handle offline mode,Backend API,Low,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,18,OQ-018-02,Battery and Bluetooth warning,Notification Service,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,18,OQ-018-03,Generate high/low heart-rate alert,Android,Medium,System shall complete the action without data loss.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,18,OQ-018-04,Sync readings to cloud API,Bluetooth Sensor,Low,Data shall be encrypted in transit and at rest.,Approved?,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,18,OQ-018-05,Biometric login option,Local DB,TBD,User shall receive clear error message on failure.,Pending QA,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,19,OQ-019-01,Generate high/low heart-rate alert,Cloud Sync,Low,Audit/event record shall be generated where applicable.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,19,OQ-019-02,Support caregiver view,Backend API,Low,System shall complete the action without data loss.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,19,OQ-019-03,Manual heart rate entry when device unavailable,Notification Service,Low,Data shall be encrypted in transit and at rest.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,19,OQ_19.4,Audit user actions,Cloud Sync,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,19,OQ-019-05,Manual heart rate entry when device unavailable,Cloud Sync,High,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,20,OQ-020-01,Consent capture and privacy notice,Notification Service,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,20,OQ_20.2,Handle offline mode,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,Need SME,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,20,OQ-020-03,Capture heart rate from paired device,Bluetooth Sensor,High,System shall complete the action without data loss.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,20,OQ_20.4,Export readings as PDF/CSV,iOS,High,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,20,OQ-020-05,Export readings as PDF/CSV,Backend API,Low,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,21,OQ-021-01,Manual heart rate entry when device unavailable,Android,TBD,System shall complete the action without data loss.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,21,OQ-021-02,Display current BPM with timestamp,Local DB,Low,System shall complete the action without data loss.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,21,OQ-021-03,Capture heart rate from paired device,Notification Service,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,21,OQ-021-04,Notification retry and suppression,Android,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,21,OQ-021-05,Manual heart rate entry when device unavailable,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,22,OQ_22.1,Manual heart rate entry when device unavailable,Android,Medium,Audit/event record shall be generated where applicable.,Rejected once,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,22,OQ-022-02,Biometric login option,Local DB,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,22,OQ-022-03,Export readings as PDF/CSV,Bluetooth Sensor,TBD,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,22,OQ-022-04,Biometric login option,Android,High,User shall receive clear error message on failure.,Need SME,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,22,OQ-022-05,Consent capture and privacy notice,iOS,TBD,Result must be visible in mobile UI within expected time.,Pending QA,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,23,OQ-023-01,Generate high/low heart-rate alert,Backend API,Medium,User shall receive clear error message on failure.,Need SME,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,23,OQ-023-02,Notification retry and suppression,Cloud Sync,Medium,System shall complete the action without data loss.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,23,OQ-023-03,Notification retry and suppression,Notification Service,Low,TBD by clinical SME - intentionally incomplete.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,23,OQ-023-04,Sync readings to cloud API,Local DB,Medium,User shall receive clear error message on failure.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,23,OQ-023-05,Store readings securely on device,Notification Service,Low,System shall complete the action without data loss.,Need SME,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,24,OQ_24.1,Validate sensor data range,Notification Service,Low,System shall complete the action without data loss.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,24,OQ-024-02,Store readings securely on device,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,24,OQ-024-03,Validate sensor data range,Cloud Sync,Low,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,24,OQ-024-04,Biometric login option,Android,Low,Data shall be encrypted in transit and at rest.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,24,OQ-024-05,Generate high/low heart-rate alert,Bluetooth Sensor,TBD,Result must be visible in mobile UI within expected time.,Approved?,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,25,OQ-025-01,Store readings securely on device,Notification Service,TBD,System shall complete the action without data loss.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,25,OQ-025-02,Generate high/low heart-rate alert,Android,Low,User shall receive clear error message on failure.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,25,OQ-025-03,Biometric login option,Bluetooth Sensor,Low,Audit/event record shall be generated where applicable.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,25,OQ-025-04,Display current BPM with timestamp,Local DB,High,Data shall be encrypted in transit and at rest.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,25,OQ-025-05,Battery and Bluetooth warning,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,26,OQ_26.1,Manual heart rate entry when device unavailable,Android,Low,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,26,OQ-026-02,Display current BPM with timestamp,Local DB,Medium,System shall complete the action without data loss.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,26,OQ-026-03,Biometric login option,Android,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,26,OQ_26.4,Validate sensor data range,Backend API,Not ranked,System shall complete the action without data loss.,Need SME,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,26,OQ-026-05,Show trend chart for 7/30/90 days,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,27,OQ_27.1,Handle offline mode,Bluetooth Sensor,TBD,User shall receive clear error message on failure.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,27,OQ_27.2,Support caregiver view,Cloud Sync,Not ranked,Data shall be encrypted in transit and at rest.,Approved?,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,27,OQ_27.3,Display current BPM with timestamp,Backend API,TBD,Result must be visible in mobile UI within expected time.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,27,OQ-027-04,Display current BPM with timestamp,Android,High,System shall complete the action without data loss.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,27,OQ-027-05,Consent capture and privacy notice,Local DB,High,Data shall be encrypted in transit and at rest.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,28,OQ-028-01,Consent capture and privacy notice,iOS,Not ranked,Data shall be encrypted in transit and at rest.,In Review,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,28,OQ-028-02,Display current BPM with timestamp,Cloud Sync,Medium,System shall complete the action without data loss.,Draft,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,28,OQ_28.3,Export readings as PDF/CSV,Bluetooth Sensor,High,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,28,OQ-028-04,Show trend chart for 7/30/90 days,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,28,OQ-028-05,Display current BPM with timestamp,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,29,OQ_29.1,Generate high/low heart-rate alert,Notification Service,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,29,OQ-029-02,Show trend chart for 7/30/90 days,Cloud Sync,TBD,User shall receive clear error message on failure.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,29,OQ-029-03,Generate high/low heart-rate alert,Android/iOS,Low,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,29,OQ-029-04,Handle offline mode,Backend API,High,System shall complete the action without data loss.,Pending QA,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,29,OQ-029-05,Support caregiver view,iOS,Low,TBD by clinical SME - intentionally incomplete.,Approved?,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,30,OQ-030-01,Manual heart rate entry when device unavailable,Cloud Sync,Medium,Data shall be encrypted in transit and at rest.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,30,OQ_30.2,Display current BPM with timestamp,Cloud Sync,Low,System shall complete the action without data loss.,Pending QA,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,30,OQ-030-03,Store readings securely on device,Android,Medium,Audit/event record shall be generated where applicable.,Rejected once,v0.1/v1.0 mixed
Document 5 - OQ - Heart Rate Monitor Application,OQ,30,OQ-030-04,Manual heart rate entry when device unavailable,Notification Service,Not ranked,Audit/event record shall be generated where applicable.,Draft,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,30,OQ-030-05,Support caregiver view,Bluetooth Sensor,Medium,User shall receive clear error message on failure.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,31,OQ_31.1,Store readings securely on device,Bluetooth Sensor,Low,Data shall be encrypted in transit and at rest.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,31,OQ-031-02,Handle offline mode,Bluetooth Sensor,Not ranked,Result must be visible in mobile UI within expected time.,Draft,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,31,OQ_31.3,Generate high/low heart-rate alert,iOS,Medium,TBD by clinical SME - intentionally incomplete.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,31,OQ-031-04,Battery and Bluetooth warning,Notification Service,Low,System shall complete the action without data loss.,In Review,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,31,OQ-031-05,Sync readings to cloud API,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Approved?,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,32,OQ-032-01,Audit user actions,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Need SME,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,32,OQ-032-02,Handle offline mode,Android/iOS,Medium,TBD by clinical SME - intentionally incomplete.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,32,OQ-032-03,Support caregiver view,Local DB,Low,System shall complete the action without data loss.,Draft,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,32,OQ-032-04,Show trend chart for 7/30/90 days,Local DB,High,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,32,OQ-032-05,Show trend chart for 7/30/90 days,Bluetooth Sensor,Not ranked,User shall receive clear error message on failure.,In Review,v0.1/v1.0 mixed
