document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 2 - FRS - Heart Rate Monitor Application,FRS,9,FRS-009-01,Sync readings to cloud API,Cloud Sync,TBD,User shall receive clear error message on failure.,Pending QA,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,9,FRS-009-02,Biometric login option,Backend API,Low,TBD by clinical SME - intentionally incomplete.,In Review,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,9,FRS-009-03,Show trend chart for 7/30/90 days,Notification Service,Low,User shall receive clear error message on failure.,Need SME,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,9,FRS-009-04,Generate high/low heart-rate alert,Backend API,TBD,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,9,FRS-009-05,Generate high/low heart-rate alert,Android,High,TBD by clinical SME - intentionally incomplete.,Approved?,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,10,FRS_10.1,Consent capture and privacy notice,Local DB,Medium,System shall complete the action without data loss.,Need SME,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,10,FRS-010-02,Support caregiver view,Local DB,TBD,Audit/event record shall be generated where applicable.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,10,FRS_10.3,Export readings as PDF/CSV,Backend API,High,Audit/event record shall be generated where applicable.,Rejected once,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,10,FRS-010-04,Store readings securely on device,Notification Service,High,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,10,FRS-010-05,Manual heart rate entry when device unavailable,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,Pending QA,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,11,FRS-011-01,Validate sensor data range,iOS,Not ranked,Audit/event record shall be generated where applicable.,In Review,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,11,FRS-011-02,Manual heart rate entry when device unavailable,Cloud Sync,Not ranked,User shall receive clear error message on failure.,Draft,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,11,FRS-011-03,Capture heart rate from paired device,Notification Service,High,TBD by clinical SME - intentionally incomplete.,In Review,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,11,FRS-011-04,Battery and Bluetooth warning,Backend API,Medium,Result must be visible in mobile UI within expected time.,Approved?,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,11,FRS-011-05,Display current BPM with timestamp,iOS,High,Data shall be encrypted in transit and at rest.,In Review,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,12,FRS-012-01,Biometric login option,Bluetooth Sensor,Not ranked,System shall complete the action without data loss.,Rejected once,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,12,FRS-012-02,Handle offline mode,Android,High,TBD by clinical SME - intentionally incomplete.,Approved?,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,12,FRS_12.3,Validate sensor data range,iOS,Medium,Audit/event record shall be generated where applicable.,Need SME,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,12,FRS-012-04,Export readings as PDF/CSV,Local DB,High,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,12,FRS-012-05,Notification retry and suppression,Cloud Sync,Not ranked,System shall complete the action without data loss.,Pending QA,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,13,FRS-013-01,Sync readings to cloud API,Local DB,TBD,User shall receive clear error message on failure.,Rejected once,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,13,FRS-013-02,Store readings securely on device,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,Rejected once,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,13,FRS_13.3,Battery and Bluetooth warning,iOS,Low,TBD by clinical SME - intentionally incomplete.,Approved?,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,13,FRS-013-04,Sync readings to cloud API,iOS,High,Audit/event record shall be generated where applicable.,Need SME,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,13,FRS-013-05,Generate high/low heart-rate alert,iOS,High,System shall complete the action without data loss.,Draft,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,14,FRS-014-01,Capture heart rate from paired device,Backend API,High,User shall receive clear error message on failure.,Pending QA,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,14,FRS-014-02,Show trend chart for 7/30/90 days,Backend API,Low,User shall receive clear error message on failure.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,14,FRS_14.3,Validate sensor data range,Android/iOS,Medium,TBD by clinical SME - intentionally incomplete.,In Review,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,14,FRS-014-04,Store readings securely on device,Local DB,TBD,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,14,FRS-014-05,Manual heart rate entry when device unavailable,Cloud Sync,High,User shall receive clear error message on failure.,Need SME,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,15,FRS-015-01,Export readings as PDF/CSV,Android,Medium,User shall receive clear error message on failure.,Rejected once,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,15,FRS-015-02,Generate high/low heart-rate alert,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,Approved?,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,15,FRS-015-03,Validate sensor data range,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Need SME,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,15,FRS-015-04,Battery and Bluetooth warning,Bluetooth Sensor,Low,TBD by clinical SME - intentionally incomplete.,In Review,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,15,FRS-015-05,Notification retry and suppression,Local DB,High,Audit/event record shall be generated where applicable.,Draft,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,16,FRS-016-01,Notification retry and suppression,Notification Service,Low,Result must be visible in mobile UI within expected time.,Approved?,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,16,FRS-016-02,Store readings securely on device,Bluetooth Sensor,High,System shall complete the action without data loss.,Draft,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,16,FRS-016-03,Validate sensor data range,Android/iOS,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,16,FRS-016-04,Generate high/low heart-rate alert,Cloud Sync,Not ranked,Data shall be encrypted in transit and at rest.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,16,FRS-016-05,Sync readings to cloud API,Bluetooth Sensor,Not ranked,User shall receive clear error message on failure.,Pending QA,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,17,FRS-017-01,Show trend chart for 7/30/90 days,Android,Medium,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,17,FRS-017-02,Biometric login option,Android/iOS,Low,Audit/event record shall be generated where applicable.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,17,FRS-017-03,Manual heart rate entry when device unavailable,Notification Service,High,Audit/event record shall be generated where applicable.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,17,FRS-017-04,Generate high/low heart-rate alert,Cloud Sync,Not ranked,User shall receive clear error message on failure.,Rejected once,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,17,FRS_17.5,Capture heart rate from paired device,Backend API,High,Audit/event record shall be generated where applicable.,Rejected once,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,18,FRS_18.1,Handle offline mode,Android/iOS,TBD,User shall receive clear error message on failure.,Approved?,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,18,FRS_18.2,Sync readings to cloud API,iOS,Low,Result must be visible in mobile UI within expected time.,Rejected once,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,18,FRS-018-03,Notification retry and suppression,iOS,Medium,Data shall be encrypted in transit and at rest.,Rejected once,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,18,FRS_18.4,Handle offline mode,Notification Service,High,Result must be visible in mobile UI within expected time.,Rejected once,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,18,FRS-018-05,Generate high/low heart-rate alert,Cloud Sync,Not ranked,Result must be visible in mobile UI within expected time.,Approved?,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,19,FRS-019-01,Display current BPM with timestamp,Android,TBD,User shall receive clear error message on failure.,Rejected once,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,19,FRS-019-02,Validate sensor data range,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Rejected once,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,19,FRS_19.3,Consent capture and privacy notice,Cloud Sync,Medium,User shall receive clear error message on failure.,Pending QA,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,19,FRS-019-04,Audit user actions,Android,High,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,19,FRS-019-05,Handle offline mode,Bluetooth Sensor,Low,User shall receive clear error message on failure.,Approved?,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,20,FRS-020-01,Export readings as PDF/CSV,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Rejected once,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,20,FRS-020-02,Audit user actions,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Approved?,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,20,FRS-020-03,Manual heart rate entry when device unavailable,Bluetooth Sensor,Medium,User shall receive clear error message on failure.,Rejected once,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,20,FRS-020-04,Battery and Bluetooth warning,Android,High,Data shall be encrypted in transit and at rest.,Approved?,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,20,FRS-020-05,Notification retry and suppression,Notification Service,High,Audit/event record shall be generated where applicable.,In Review,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,21,FRS-021-01,Audit user actions,Cloud Sync,High,Audit/event record shall be generated where applicable.,Pending QA,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,21,FRS-021-02,Sync readings to cloud API,Cloud Sync,High,Result must be visible in mobile UI within expected time.,Draft,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,21,FRS_21.3,Export readings as PDF/CSV,Notification Service,TBD,Result must be visible in mobile UI within expected time.,In Review,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,21,FRS-021-04,Export readings as PDF/CSV,Bluetooth Sensor,Low,System shall complete the action without data loss.,In Review,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,21,FRS-021-05,Store readings securely on device,Notification Service,Medium,Data shall be encrypted in transit and at rest.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,22,FRS_22.1,Validate sensor data range,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Draft,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,22,FRS-022-02,Handle offline mode,Cloud Sync,Not ranked,System shall complete the action without data loss.,Pending QA,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,22,FRS-022-03,Store readings securely on device,Local DB,Not ranked,Audit/event record shall be generated where applicable.,Need SME,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,22,FRS-022-04,Sync readings to cloud API,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Rejected once,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,22,FRS-022-05,Handle offline mode,Notification Service,Not ranked,Result must be visible in mobile UI within expected time.,Draft,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,23,FRS-023-01,Biometric login option,Backend API,Not ranked,TBD by clinical SME - intentionally incomplete.,Pending QA,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,23,FRS_23.2,Notification retry and suppression,Notification Service,High,Result must be visible in mobile UI within expected time.,In Review,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,23,FRS_23.3,Capture heart rate from paired device,Android,High,User shall receive clear error message on failure.,Draft,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,23,FRS-023-04,Notification retry and suppression,iOS,High,System shall complete the action without data loss.,Approved?,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,23,FRS_23.5,Audit user actions,Android,High,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,24,FRS-024-01,Support caregiver view,iOS,Not ranked,System shall complete the action without data loss.,Need SME,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,24,FRS-024-02,Consent capture and privacy notice,iOS,Not ranked,Audit/event record shall be generated where applicable.,In Review,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,24,FRS-024-03,Validate sensor data range,Local DB,TBD,Result must be visible in mobile UI within expected time.,In Review,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,24,FRS-024-04,Battery and Bluetooth warning,Backend API,Not ranked,Audit/event record shall be generated where applicable.,Draft,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,24,FRS-024-05,Export readings as PDF/CSV,Local DB,Low,Audit/event record shall be generated where applicable.,Draft,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,25,FRS-025-01,Validate sensor data range,Local DB,High,TBD by clinical SME - intentionally incomplete.,In Review,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,25,FRS-025-02,Handle offline mode,Notification Service,Medium,Audit/event record shall be generated where applicable.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,25,FRS-025-03,Store readings securely on device,Notification Service,Low,Audit/event record shall be generated where applicable.,Draft,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,25,FRS-025-04,Support caregiver view,Android/iOS,Medium,System shall complete the action without data loss.,Rejected once,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,25,FRS-025-05,Display current BPM with timestamp,Local DB,Low,User shall receive clear error message on failure.,Need SME,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,26,FRS-026-01,Notification retry and suppression,Notification Service,High,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,26,FRS-026-02,Battery and Bluetooth warning,Local DB,Low,Data shall be encrypted in transit and at rest.,Pending QA,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,26,FRS-026-03,Store readings securely on device,Bluetooth Sensor,Low,Result must be visible in mobile UI within expected time.,Pending QA,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,26,FRS-026-04,Audit user actions,Local DB,Low,Result must be visible in mobile UI within expected time.,Rejected once,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,26,FRS_26.5,Display current BPM with timestamp,Android,High,Audit/event record shall be generated where applicable.,Need SME,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,27,FRS_27.1,Validate sensor data range,Local DB,High,TBD by clinical SME - intentionally incomplete.,Approved?,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,27,FRS-027-02,Support caregiver view,Cloud Sync,TBD,User shall receive clear error message on failure.,In Review,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,27,FRS_27.3,Store readings securely on device,Android/iOS,High,System shall complete the action without data loss.,Approved?,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,27,FRS_27.4,Consent capture and privacy notice,Backend API,TBD,User shall receive clear error message on failure.,Draft,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,27,FRS-027-05,Notification retry and suppression,Backend API,Low,Data shall be encrypted in transit and at rest.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,28,FRS-028-01,Support caregiver view,Notification Service,Medium,User shall receive clear error message on failure.,Rejected once,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,28,FRS-028-02,Show trend chart for 7/30/90 days,Notification Service,Low,Data shall be encrypted in transit and at rest.,Draft,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,28,FRS-028-03,Audit user actions,iOS,Medium,Audit/event record shall be generated where applicable.,Approved?,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,28,FRS-028-04,Show trend chart for 7/30/90 days,Local DB,Medium,Data shall be encrypted in transit and at rest.,Rejected once,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,28,FRS-028-05,Sync readings to cloud API,Local DB,Low,Audit/event record shall be generated where applicable.,Approved?,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,29,FRS-029-01,Capture heart rate from paired device,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,Rejected once,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,29,FRS-029-02,Consent capture and privacy notice,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,Rejected once,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,29,FRS-029-03,Manual heart rate entry when device unavailable,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Pending QA,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,29,FRS-029-04,Audit user actions,Cloud Sync,Low,System shall complete the action without data loss.,Pending QA,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,29,FRS-029-05,Capture heart rate from paired device,Backend API,Medium,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,30,FRS-030-01,Sync readings to cloud API,iOS,TBD,Audit/event record shall be generated where applicable.,Draft,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,30,FRS-030-02,Show trend chart for 7/30/90 days,Local DB,Medium,System shall complete the action without data loss.,Approved?,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,30,FRS-030-03,Export readings as PDF/CSV,Android/iOS,High,Result must be visible in mobile UI within expected time.,Draft,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,30,FRS-030-04,Sync readings to cloud API,Android,TBD,Result must be visible in mobile UI within expected time.,Approved?,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,30,FRS-030-05,Support caregiver view,Local DB,Low,TBD by clinical SME - intentionally incomplete.,In Review,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,31,FRS-031-01,Support caregiver view,iOS,High,Data shall be encrypted in transit and at rest.,Need SME,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,31,FRS-031-02,Validate sensor data range,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Need SME,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,31,FRS_31.3,Display current BPM with timestamp,Local DB,High,Data shall be encrypted in transit and at rest.,Rejected once,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,31,FRS-031-04,Export readings as PDF/CSV,Cloud Sync,High,System shall complete the action without data loss.,Draft,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,31,FRS-031-05,Store readings securely on device,Backend API,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,32,FRS-032-01,Show trend chart for 7/30/90 days,Cloud Sync,High,User shall receive clear error message on failure.,In Review,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,32,FRS_32.2,Support caregiver view,Local DB,TBD,Data shall be encrypted in transit and at rest.,Approved?,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,32,FRS-032-03,Biometric login option,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,In Review,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,32,FRS-032-04,Handle offline mode,Android/iOS,High,TBD by clinical SME - intentionally incomplete.,Need SME,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,32,FRS_32.5,Generate high/low heart-rate alert,Local DB,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
